id,t,rx,ry,rz,vx,vy,vz,ux,uy,uz
33,31.036991894550024,-431.03999999999974,-1000.7099999999999,-765.8300000000004,815,-536,-805,-523,683,136
33,31.16900227391293,-424.1899999999997,-1008.8,-771.7400000000004,-936,-550,885,-232,-810,-415
33,31.992354256582903,-419.9499999999997,-1012.65,-769.2700000000003,-100,-761,723,-387,343,571
33,32.303797390854776,-426.0799999999997,-1017.12,-777.1600000000003,-971,103,-880,208,123,-312
33,32.69878700979783,-422.3899999999997,-1011.48,-768.8500000000004,-398,54,-220,-648,56,-507
33,32.980176815793165,-428.1399999999997,-1006.24,-772.7300000000004,-175,-782,25,134,959,-202
33,33.04025357192096,-432.0099999999997,-1010.3,-782.5200000000003,242,690,-176,604,-618,892
33,33.51495592359253,-431.2599999999997,-1010.0799999999999,-777.0700000000003,-182,-222,-88,-910,-963,879
33,33.66036443184714,-434.66999999999973,-1016.3699999999999,-770.8700000000002,-280,-684,-424,689,-393,123
33,33.979258151994344,-432.16999999999973,-1022.5099999999999,-772.8200000000003,-913,675,-413,963,-528,-284
33,34.01063581008736,-438.14999999999975,-1018.5099999999999,-770.0900000000003,-743,936,-37,904,40,-389
33,34.65672547034033,-447.77999999999975,-1024.58,-772.5300000000003,764,192,19,670,291,267
33,35.125223876362334,-442.95999999999975,-1031.56,-770.4600000000003,-518,-171,-750,-781,-264,332
33,35.82276424415724,-444.95999999999975,-1024.6599999999999,-774.9400000000003,478,117,3,-315,-91,-289
33,36.51959701363254,-436.45999999999975,-1021.6499999999999,-775.5200000000003,253,-113,682,-327,333,961
33,37.004179451472616,-435.33999999999975,-1019.9499999999998,-765.7800000000003,-341,-804,752,879,570,-582
33,37.79424429956883,-443.64999999999975,-1023.2899999999998,-756.0000000000003,-463,-233,630,-295,-282,642
33,38.40731698920685,-438.76999999999975,-1026.4399999999998,-757.3200000000004,653,700,795,-247,-79,760
33,39.35010484324965,-443.32999999999976,-1034.0199999999998,-760.2800000000004,-405,554,230,556,782,-622
33,39.4751973374672,-439.96999999999974,-1033.0099999999998,-767.8500000000005,-946,248,74,-563,-571,-618
33,39.81556078740756,-439.5599999999997,-1034.2599999999998,-774.0100000000004,475,-527,155,567,-778,70
33,40.034273623909954,-436.02999999999975,-1043.8499999999997,-778.0400000000004,353,607,40,-906,-334,520
33,40.325455678360925,-430.65999999999974,-1038.0899999999997,-779.8100000000004,517,-115,873,-964,178,344
33,40.92625913975428,-428.87999999999977,-1032.6199999999997,-774.3400000000004,-772,-200,894,864,254,554
33,41.47847084891105,-426.69999999999976,-1027.3099999999997,-774.5600000000004,211,322,-779,828,-917,-179
33,41.63676477360873,-434.56999999999977,-1035.9399999999998,-780.9700000000004,-775,-578,792,-864,-916,-322
33,41.868478351905914,-442.88999999999976,-1044.1399999999999,-784.6400000000003,-626,730,-740,-51,-766,619
33,41.989233554312776,-446.78999999999974,-1049.1399999999999,-780.6600000000003,32,-454,-658,6,-814,-577
33,42.23432941924096,-454.40999999999974,-1048.58,-783.0500000000003,150,746,-702,-692,-729,-750
33,42.84214416883969,-459.00999999999976,-1042.8799999999999,-782.3600000000002,-681,-286,217,150,-323,-90
34,0.787686856642769,124,297,156,864,-829,-332,-257,983,767
34,1.1361557529655946,114.84,302.21,147.53,-344,-172,-217,-524,-327,182
34,2.0415949817256744,107.85000000000001,299.69,156.38,-468,-992,-343,199,-425,882
34,2.1093545005436165,114.30000000000001,299.25,162.96,-265,233,855,269,8,720
34,2.4914443776280817,123.28000000000002,303.37,172.10000000000002,375,-717,23,18,102,-917
34,2.658848769124999,121.86000000000001,310.2,173.60000000000002,929,-664,-197,82,423,443
34,3.3768750616615204,125.63000000000001,317.34,179.01000000000002,-57,-447,82,-193,-517,208
34,3.4234343829699876,121.91000000000001,322.57,170.42000000000002,-309,312,118,-532,-862,-423
34,4.304094191016673,126.66000000000001,321.8,170.15,-180,-592,-818,-367,877,-452
34,5.153936575690455,134.43,322.49,173.15,-134,-852,542,874,-306,378
34,6.121297726830596,136.20000000000002,328.74,165.27,508,372,161,672,-7,-768
34,6.447339675155989,131.67000000000002,327.83,155.29000000000002,-335,-571,-328,-948,-27,712
34,6.801845012087143,139.44000000000003,321.38,148.57000000000002,-718,-229,-963,-743,-712,-555
34,7.117458656386255,139.51000000000002,325.1,152.70000000000002,-875,233,-162,-882,-517,602
34,7.816227294466699,135.10000000000002,333.05,156.14000000000001,777,526,-553,-185,-986,906
34,8.596246688448781,142.82000000000002,342.56,147.88000000000002,926,-774,600,813,190,-573
34,8.651333055611294,150.93,334.16,154.75000000000003,-57,-394,-124,-265,-589,273
34,8.886212652912505,148.13,335.26000000000005,149.94000000000003,-699,-956,-418,-92,93,600
34,9.564643587532608,153.38,333.32000000000005,147.07000000000002,625,-810,-550,-196,-750,-536
34,10.144519145267047,158.24,335.32000000000005,153.46,-640,78,305,-490,977,356
34,10.93338804312273,158.23000000000002,326.9800000000001,149.38,684,-595,-266,-620,-689,-731
34,11.138250659352911,167.16000000000003,317.74000000000007,151.5,-707,-931,797,-858,602,-274
34,11.192661068255454,167.93000000000004,323.88000000000005,154.5,-606,-655,996,-140,417,-926
